Name;Ort;Region;Kategorien;Breitengrad;Längengrad;Hinweis
Universitätsklinikum Heidelberg;Heidelberg;Rhein-Neckar;SAV;49.4143;8.6736;"Arbeitsdatensatz; Zulassungsstatus und Kontaktdaten bitte gegen DGUV-Datenbestand prüfen."
Universitätsklinikum Mannheim;Mannheim;Rhein-Neckar;SAV;49.4912;8.484;"Arbeitsdatensatz; Zulassungsstatus und Kontaktdaten bitte gegen DGUV-Datenbestand prüfen."
BG Klinik Ludwigshafen;Ludwigshafen am Rhein;Vorderpfalz;SAV|BG-Klinik|Reha;49.4868;8.4034;"Überregionales BG-Zentrum; Detaildaten noch zu ergänzen."
SLK-Klinikum Heilbronn – Klinikum am Gesundbrunnen;Heilbronn;Heilbronn-Franken;SAV|VAV;49.1583;9.22;"Mehrfachnennung im Arbeitsbestand; endgültige Verfahrenszuordnung prüfen."
Städtisches Klinikum Karlsruhe;Karlsruhe;Karlsruhe;SAV;49.0186;8.3762;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
Klinikum Darmstadt – Orthopädie, Unfall- und Handchirurgie;Darmstadt;Rhein-Main;SAV;49.8728;8.6512;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
Klinikum Aschaffenburg-Alzenau;Aschaffenburg;Unterfranken / Bayerischer Untermain;SAV;49.9825;9.1476;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
Universitätsklinikum Würzburg;Würzburg;Unterfranken;SAV;49.8007;9.9553;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
Universitätsklinikum Frankfurt;Frankfurt am Main;Rhein-Main;SAV;50.0946;8.6592;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
BG Unfallklinik Frankfurt am Main;Frankfurt am Main;Rhein-Main;SAV|BG-Klinik|Reha;50.1459;8.7034;"Überregionales BG-Zentrum; Detaildaten noch zu ergänzen."
St. Vincentius-Krankenhaus Speyer;Speyer;Vorderpfalz;VAV;49.3159;8.4308;"Arbeitsdatensatz; aktuelle Bezeichnung/Zulassung prüfen."
RKH Fürst-Stirum-Klinik Bruchsal;Bruchsal;Kraichgau / Karlsruhe;VAV;49.1247;8.5982;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
Neckar-Odenwald-Kliniken – Standort Mosbach;Mosbach;Neckar-Odenwald;VAV;49.3538;9.1469;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
Gesundheitszentrum Odenwaldkreis;Erbach;Odenwald;VAV;49.6586;8.9907;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
Klinikum Worms;Worms;Rheinhessen / Vorderpfalz;VAV;49.6359;8.3594;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
ViDia Christliche Kliniken Karlsruhe;Karlsruhe;Karlsruhe;VAV;49.0069;8.4037;"Arbeitsdatensatz; Detaildaten noch zu ergänzen."
RehaMed Heidelberg;Heidelberg;Rhein-Neckar;EAP;49.404;8.681;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Reha in der ATOS Klinik Heidelberg;Heidelberg;Rhein-Neckar;EAP;49.4105;8.6905;"Vom Nutzer als Artemis/ATOS bezeichnet; genaue Einrichtung prüfen."
Therapiezentrum Avenius;Hockenheim;Rhein-Neckar;EAP;49.3233;8.5519;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Sportomed Mannheim;Mannheim;Rhein-Neckar;EAP;49.4875;8.466;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
TSG Reha Dietmar Hopp;Zuzenhausen;Kraichgau;EAP;49.2967;8.823;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
ZAR Mannheim;Mannheim;Rhein-Neckar;EAP;49.5;8.47;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Sportec Therapie und Training;Weinheim;Bergstraße / Rhein-Neckar;EAP;49.5493;8.6673;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
ZAR Therapiezentrum am St. Marienkrankenhaus;Ludwigshafen am Rhein;Vorderpfalz;EAP;49.4777;8.4455;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Rehazentrum Neckar-Odenwald;Eberbach;Neckar-Odenwald;EAP;49.4662;8.9907;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Therapiezentrum Janowitsch;Obertshausen;Rhein-Main;EAP;50.0719;8.8512;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Therapiezentrum am Schloss;Bruchsal;Kraichgau / Karlsruhe;EAP;49.1255;8.5988;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Physio3 PartG;Bensheim;Bergstraße;EAP;49.6819;8.622;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
TriaMedica;Mosbach;Neckar-Odenwald;EAP;49.3519;9.1456;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Rehazentrum GmbH Worms;Worms;Rheinhessen / Vorderpfalz;EAP;49.6325;8.3605;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Westend Bad Fries;Worms;Rheinhessen / Vorderpfalz;EAP;49.6352;8.354;"Bezeichnung möglicherweise abweichend; bitte prüfen."
Physiozentrum Odenwald GmbH;Erbach;Odenwald;EAP;49.657;8.9919;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
The ReSport GmbH;Bickenbach;Bergstraße / Rhein-Main;EAP;49.7595;8.6173;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
RehaMed Gesundheitspark GmbH;Herxheim;Südpfalz;EAP;49.1466;8.214;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
MS SportReha;Landau in der Pfalz;Südpfalz;EAP;49.1989;8.1186;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
TriaMedic Karlsruhe;Karlsruhe;Karlsruhe;EAP;49.0105;8.4045;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Reha am Bahnhof;Neckarsulm;Heilbronn-Franken;EAP;49.1912;9.2254;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Reha Rondell;Brackenheim;Heilbronn-Franken;EAP;49.0796;9.0665;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
WARMIT Rehazentrum Karlsruhe;Karlsruhe;Karlsruhe;EAP;49.0005;8.41;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
ZAR Heilbronn / Nanz medico;Heilbronn;Heilbronn-Franken;EAP;49.1427;9.2189;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
The ReSport GmbH;Darmstadt;Rhein-Main;EAP;49.8722;8.6566;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Balance Aschaffenburg GmbH;Aschaffenburg;Unterfranken / Bayerischer Untermain;EAP;49.9778;9.1492;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
Vitalzentrum TBB;Tauberbischofsheim;Main-Tauber;EAP;49.6244;9.6628;"Koordinate auf Stadtebene; genaue Anschrift ergänzen."
MEDIAN Vesalius-Klinik Bad Rappenau;Bad Rappenau;Heilbronn-Franken;Stationäre Reha;49.2402;9.1021;"Arbeitsdatensatz; BG-Relevanz und Leistungsprofil prüfen."
Salinenklinik Bad Rappenau;Bad Rappenau;Heilbronn-Franken;EAP|Stationäre Reha;49.2383;9.1005;"Mehrfachrolle nach Nutzerangabe; Details prüfen."
SRH Gesundheitszentrum Bad Wimpfen;Bad Wimpfen;Heilbronn-Franken;EAP|Stationäre Reha;49.2297;9.163;"Mehrfachrolle nach Nutzerangabe; Details prüfen."
SRH Gesundheitszentrum Bad Herrenalb;Bad Herrenalb;Nordschwarzwald;EAP|Stationäre Reha;48.7978;8.44;"Mehrfachrolle nach Nutzerangabe; Details prüfen."
